======================================================================
  Experiment 1: W1, W2, T_st (Threshold) Routing
======================================================================
  Topology:     geant.json
  sys_data idx: 0
  TM number:    7508
  Eval TMs:     [7506, 7507, 7508, 7509, 7510]
  Output dir:   /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7508
  Sim end:      2.0s
  Queue:        random (q=15)

  Loading SYS data...
  Flow size:    724,074,804 bytes (auto-computed from max rate 2892.3 Mbps × 2.0s)
  Generated /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7508/traffic.tm
  Active pairs:   427
  Overflow pairs: 10 (demand > T_st)
  Total demand:   50581.4 Mbps (50.58 Gbps)
  Total flows:    1187

  Overflow pairs (d_st > T_st):
    0->9: demand=1657.1 Mbps  T_st=1390.3  base=1390.3  overflow=266.8
    0->19: demand=1506.4 Mbps  T_st=1391.1  base=1391.1  overflow=115.3
    2->0: demand=5422.9 Mbps  T_st=1371.2  base=1371.2  overflow=4051.7
    2->4: demand=1779.3 Mbps  T_st=1396.9  base=1396.9  overflow=382.4
    2->5: demand=4955.6 Mbps  T_st=1372.1  base=1372.1  overflow=3583.5
    2->6: demand=2618.3 Mbps  T_st=1389.6  base=1389.6  overflow=1228.7
    2->18: demand=2625.9 Mbps  T_st=1385.6  base=1385.6  overflow=1240.3
    7->4: demand=3404.2 Mbps  T_st=1378.1  base=1378.1  overflow=2026.1
    9->0: demand=3199.1 Mbps  T_st=1378.0  base=1378.0  overflow=1821.1
    19->0: demand=1604.1 Mbps  T_st=1388.4  base=1388.4  overflow=215.6

  Running: htsim_cbr -json_topo geant.json -tm traffic.tm -q 15 -queue_type random -end 2.0
  htsim finished.

  Wrote /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7508/results_per_flow.csv
  Wrote /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7508/results_per_tunnel.csv
  Wrote /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7508/results_per_pair.csv

======================================================================
  KEY RESULTS
======================================================================
  Total Sent:       12,646,072,500 bytes  (50,584.3 Mbps)
  Total Delivered:  12,398,254,500 bytes  (49,593.0 Mbps)
  Total Loss:          247,818,000 bytes
  Delivery Ratio:           98.04%
  Loss Ratio:                1.96%

  >>> MaxEffFlow = 49,593.02 Mbps  (49.5930 Gbps)

  Pairs with loss (261 / 396):
     pair            sent       delivered          loss    loss%
  11->8           21,000          12,000         9,000    42.9%
  12->1        2,125,500       2,116,500         9,000     0.4%
   7->9       11,965,500      11,958,000         7,500     0.1%
   7->21      81,066,000      81,058,500         7,500     0.0%
  10->18       5,185,500       5,178,000         7,500     0.1%
  15->20       5,160,000       5,152,500         7,500     0.1%
  18->17      88,942,500      88,935,000         7,500     0.0%
   1->18      39,457,500      39,451,500         6,000     0.0%
   2->17      20,089,500      20,083,500         6,000     0.0%
   2->20         280,500         274,500         6,000     2.1%
   3->14       7,924,500       7,918,500         6,000     0.1%
   5->19         372,000         366,000         6,000     1.6%
   6->14     126,960,000     126,954,000         6,000     0.0%
   7->15       3,003,000       2,997,000         6,000     0.2%
   7->16         121,500         115,500         6,000     4.9%
   7->17       2,550,000       2,544,000         6,000     0.2%
   7->18      22,615,500      22,609,500         6,000     0.0%
   7->19       1,116,000       1,110,000         6,000     0.5%
   7->20          46,500          40,500         6,000    12.9%
   9->13         156,000         150,000         6,000     3.8%
  13->18         211,500         205,500         6,000     2.8%
  13->21       1,939,500       1,933,500         6,000     0.3%
  15->0      195,088,500     195,082,500         6,000     0.0%
  15->9       32,184,000      32,178,000         6,000     0.0%
  15->10         369,000         363,000         6,000     1.6%
  15->13         111,000         105,000         6,000     5.4%
  15->16         193,500         187,500         6,000     3.1%
  15->17       6,732,000       6,726,000         6,000     0.1%
  15->18      39,922,500      39,916,500         6,000     0.0%
  15->19       6,777,000       6,771,000         6,000     0.1%
  16->10          70,500          64,500         6,000     8.5%
  16->17         567,000         561,000         6,000     1.1%
  17->16         204,000         198,000         6,000     2.9%
  18->13      26,398,500      26,392,500         6,000     0.0%
  18->15       7,704,000       7,698,000         6,000     0.1%
  18->20         630,000         624,000         6,000     1.0%
  19->9       52,038,000      52,032,000         6,000     0.0%
  19->21       5,557,500       5,551,500         6,000     0.1%
   0->18     257,743,500     257,739,000         4,500     0.0%
   1->16      10,057,500      10,053,000         4,500     0.0%
   2->4      444,820,500     444,816,000         4,500     0.0%
   2->13         187,500         183,000         4,500     2.4%
   2->15         781,500         777,000         4,500     0.6%
   3->13          82,500          78,000         4,500     5.5%
   3->19       1,867,500       1,863,000         4,500     0.2%
   5->18       1,798,500       1,794,000         4,500     0.3%
   7->8          637,500         633,000         4,500     0.7%
   7->13          13,500           9,000         4,500    33.3%
   8->18       6,964,500       6,960,000         4,500     0.1%
   8->19       6,153,000       6,148,500         4,500     0.1%
   9->0      799,776,000     799,771,500         4,500     0.0%
   9->14       5,910,000       5,905,500         4,500     0.1%
   9->17         135,000         130,500         4,500     3.3%
   9->19       2,931,000       2,926,500         4,500     0.2%
   9->20       7,981,500       7,977,000         4,500     0.1%
  10->15         955,500         951,000         4,500     0.5%
  10->16       2,986,500       2,982,000         4,500     0.2%
  12->19         244,500         240,000         4,500     1.8%
  13->16          49,500          45,000         4,500     9.1%
  13->19          55,500          51,000         4,500     8.1%
  14->19       2,424,000       2,419,500         4,500     0.2%
  15->12         171,000         166,500         4,500     2.6%
  16->14      16,960,500      16,956,000         4,500     0.0%
  16->15       1,176,000       1,171,500         4,500     0.4%
  16->19       2,068,500       2,064,000         4,500     0.2%
  17->19         231,000         226,500         4,500     1.9%
  17->21      14,553,000      14,548,500         4,500     0.0%
  18->19      15,436,500      15,432,000         4,500     0.0%
  19->15         733,500         729,000         4,500     0.6%
  19->16         201,000         196,500         4,500     2.2%
  19->17         126,000         121,500         4,500     3.6%
  19->18      24,759,000      24,754,500         4,500     0.0%
  21->13      30,355,500      30,351,000         4,500     0.0%
   0->21         151,500         148,500         3,000     2.0%
   1->17       2,137,500       2,134,500         3,000     0.1%
   1->21         465,000         462,000         3,000     0.6%
   2->19         759,000         756,000         3,000     0.4%
   3->15         268,500         265,500         3,000     1.1%
   3->18       2,016,000       2,013,000         3,000     0.1%
   3->21          79,500          76,500         3,000     3.8%
   4->0      132,472,500     132,469,500         3,000     0.0%
   4->19     183,372,000     183,369,000         3,000     0.0%
   4->21      35,665,500      35,662,500         3,000     0.0%
   5->0        6,478,500       6,475,500         3,000     0.0%
   5->9        3,054,000       3,051,000         3,000     0.1%
   5->16         229,500         226,500         3,000     1.3%
   6->16       2,163,000       2,160,000         3,000     0.1%
   6->20         757,500         754,500         3,000     0.4%
   7->0       15,294,000      15,291,000         3,000     0.0%
   7->10          15,000          12,000         3,000    20.0%
   7->12       1,707,000       1,704,000         3,000     0.2%
   8->15         825,000         822,000         3,000     0.4%
   8->17          40,500          37,500         3,000     7.4%
   8->21          39,000          36,000         3,000     7.7%
   9->1          667,500         664,500         3,000     0.4%
   9->7           96,000          93,000         3,000     3.1%
   9->8       94,263,000      94,260,000         3,000     0.0%
   9->10          18,000          15,000         3,000    16.7%
   9->15       1,749,000       1,746,000         3,000     0.2%
   9->16          75,000          72,000         3,000     4.0%
   9->18      15,129,000      15,126,000         3,000     0.0%
   9->21         241,500         238,500         3,000     1.2%
  10->20          22,500          19,500         3,000    13.3%
  11->7           22,500          19,500         3,000    13.3%
  12->15       1,449,000       1,446,000         3,000     0.2%
  12->20         159,000         156,000         3,000     1.9%
  13->4       26,716,500      26,713,500         3,000     0.0%
  13->12         133,500         130,500         3,000     2.2%
  13->14         117,000         114,000         3,000     2.6%
  14->15         120,000         117,000         3,000     2.5%
  14->16      16,207,500      16,204,500         3,000     0.0%
  14->18      35,257,500      35,254,500         3,000     0.0%
  14->20         201,000         198,000         3,000     1.5%
  15->14          33,000          30,000         3,000     9.1%
  16->1        1,189,500       1,186,500         3,000     0.3%
  16->12         301,500         298,500         3,000     1.0%
  16->13           7,500           4,500         3,000    40.0%
  17->1          151,500         148,500         3,000     2.0%
  18->4       75,967,500      75,964,500         3,000     0.0%
  18->9        4,719,000       4,716,000         3,000     0.1%
  18->10       2,094,000       2,091,000         3,000     0.1%
  18->14      46,843,500      46,840,500         3,000     0.0%
  19->1           64,500          61,500         3,000     4.7%
  19->13           7,500           4,500         3,000    40.0%
  19->20          45,000          42,000         3,000     6.7%
  20->18          91,500          88,500         3,000     3.3%
  20->19       1,695,000       1,692,000         3,000     0.2%
  21->17      56,307,000      56,304,000         3,000     0.0%
   0->2       24,235,500      24,234,000         1,500     0.0%
   0->7       65,578,500      65,577,000         1,500     0.0%
   0->8      107,676,000     107,674,500         1,500     0.0%
   0->9      414,279,000     414,277,500         1,500     0.0%
   0->17           6,000           4,500         1,500    25.0%
   1->9       21,700,500      21,699,000         1,500     0.0%
   1->14       1,936,500       1,935,000         1,500     0.1%
   1->15         936,000         934,500         1,500     0.2%
   2->8           48,000          46,500         1,500     3.1%
   2->9        8,595,000       8,593,500         1,500     0.0%
   2->10         748,500         747,000         1,500     0.2%
   2->12         169,500         168,000         1,500     0.9%
   3->0       12,409,500      12,408,000         1,500     0.0%
   4->5       38,166,000      38,164,500         1,500     0.0%
   4->8          892,500         891,000         1,500     0.2%
   4->14      18,660,000      18,658,500         1,500     0.0%
   4->15      14,365,500      14,364,000         1,500     0.0%
   4->18     162,856,500     162,855,000         1,500     0.0%
   5->3          303,000         301,500         1,500     0.5%
   5->8           19,500          18,000         1,500     7.7%
   5->10          22,500          21,000         1,500     6.7%
   5->13          42,000          40,500         1,500     3.6%
   5->15       1,552,500       1,551,000         1,500     0.1%
   5->17         745,500         744,000         1,500     0.2%
   5->20           4,500           3,000         1,500    33.3%
   6->2       11,749,500      11,748,000         1,500     0.0%
   6->3        2,997,000       2,995,500         1,500     0.1%
   6->13         166,500         165,000         1,500     0.9%
   6->15       2,206,500       2,205,000         1,500     0.1%
   6->18      12,097,500      12,096,000         1,500     0.0%
   6->19       1,353,000       1,351,500         1,500     0.1%
   7->2        5,883,000       5,881,500         1,500     0.0%
   8->2        2,232,000       2,230,500         1,500     0.1%
   8->4       34,942,500      34,941,000         1,500     0.0%
   8->9       78,792,000      78,790,500         1,500     0.0%
   8->13          19,500          18,000         1,500     7.7%
   8->14         196,500         195,000         1,500     0.8%
   9->4      106,315,500     106,314,000         1,500     0.0%
  10->1          165,000         163,500         1,500     0.9%
  10->2        3,219,000       3,217,500         1,500     0.0%
  10->9          228,000         226,500         1,500     0.7%
  10->12         141,000         139,500         1,500     1.1%
  10->21          93,000          91,500         1,500     1.6%
  12->0       16,263,000      16,261,500         1,500     0.0%
  12->13          67,500          66,000         1,500     2.2%
  13->9          159,000         157,500         1,500     0.9%
  13->15          13,500          12,000         1,500    11.1%
  14->5          637,500         636,000         1,500     0.2%
  14->6        1,939,500       1,938,000         1,500     0.1%
  14->9        2,680,500       2,679,000         1,500     0.1%
  14->10          51,000          49,500         1,500     2.9%
  14->12          54,000          52,500         1,500     2.8%
  14->13         585,000         583,500         1,500     0.3%
  14->21       2,707,500       2,706,000         1,500     0.1%
  15->1       11,692,500      11,691,000         1,500     0.0%
  15->2      166,771,500     166,770,000         1,500     0.0%
  15->4      103,585,500     103,584,000         1,500     0.0%
  15->6        5,133,000       5,131,500         1,500     0.0%
  15->8        1,828,500       1,827,000         1,500     0.1%
  16->8          384,000         382,500         1,500     0.4%
  16->9       10,489,500      10,488,000         1,500     0.0%
  16->18      11,271,000      11,269,500         1,500     0.0%
  16->21       1,618,500       1,617,000         1,500     0.1%
  17->8          102,000         100,500         1,500     1.5%
  17->15         223,500         222,000         1,500     0.7%
  18->2       46,753,500      46,752,000         1,500     0.0%
  18->5        7,107,000       7,105,500         1,500     0.0%
  18->6       36,480,000      36,478,500         1,500     0.0%
  18->12       1,060,500       1,059,000         1,500     0.1%
  18->21      34,623,000      34,621,500         1,500     0.0%
  19->4       67,909,500      67,908,000         1,500     0.0%
  19->5           55,500          54,000         1,500     2.7%
  19->6          106,500         105,000         1,500     1.4%
  19->7           48,000          46,500         1,500     3.1%
  19->14       1,002,000       1,000,500         1,500     0.1%
  20->2          438,000         436,500         1,500     0.3%
  20->21          30,000          28,500         1,500     5.0%
  21->0          688,500         687,000         1,500     0.2%
  21->4       46,633,500      46,632,000         1,500     0.0%
  21->8           45,000          43,500         1,500     3.3%
  21->9          799,500         798,000         1,500     0.2%
  21->18     179,928,000     179,926,500         1,500     0.0%
  21->19         580,500         579,000         1,500     0.3%

  Log file:      /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7508/run_20260316_144259.txt

