======================================================================
  Experiment 1: W1, W2, T_st (Threshold) Routing
======================================================================
  Topology:     geant.json
  sys_data idx: 0
  TM number:    7509
  Eval TMs:     [7506, 7507, 7508, 7509, 7510]
  Output dir:   /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7509
  Sim end:      2.0s
  Queue:        random (q=15)

  Loading SYS data...
  Flow size:    747,504,961 bytes (auto-computed from max rate 2986.0 Mbps × 2.0s)
  Generated /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7509/traffic.tm
  Active pairs:   430
  Overflow pairs: 10 (demand > T_st)
  Total demand:   52283.8 Mbps (52.28 Gbps)
  Total flows:    1206

  Overflow pairs (d_st > T_st):
    0->9: demand=1648.5 Mbps  T_st=1390.3  base=1390.3  overflow=258.2
    0->19: demand=1506.7 Mbps  T_st=1391.1  base=1391.1  overflow=115.6
    2->0: demand=5747.8 Mbps  T_st=1371.2  base=1371.2  overflow=4376.6
    2->4: demand=3008.1 Mbps  T_st=1396.9  base=1396.9  overflow=1611.2
    2->5: demand=4751.4 Mbps  T_st=1372.1  base=1372.1  overflow=3379.3
    2->6: demand=3030.5 Mbps  T_st=1389.6  base=1389.6  overflow=1640.9
    2->18: demand=2693.2 Mbps  T_st=1385.6  base=1385.6  overflow=1307.6
    7->4: demand=3479.3 Mbps  T_st=1378.1  base=1378.1  overflow=2101.2
    9->0: demand=3218.1 Mbps  T_st=1378.0  base=1378.0  overflow=1840.1
    19->0: demand=1668.0 Mbps  T_st=1388.4  base=1388.4  overflow=279.5

  Running: htsim_cbr -json_topo geant.json -tm traffic.tm -q 15 -queue_type random -end 2.0
  htsim finished.

  Wrote /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7509/results_per_flow.csv
  Wrote /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7509/results_per_tunnel.csv
  Wrote /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7509/results_per_pair.csv

======================================================================
  KEY RESULTS
======================================================================
  Total Sent:       13,071,642,000 bytes  (52,286.6 Mbps)
  Total Delivered:  12,784,336,500 bytes  (51,137.3 Mbps)
  Total Loss:          287,305,500 bytes
  Delivery Ratio:           97.80%
  Loss Ratio:                2.20%

  >>> MaxEffFlow = 51,137.35 Mbps  (51.1373 Gbps)

  Pairs with loss (255 / 404):
     pair            sent       delivered          loss    loss%
   2->6      757,630,500     757,621,500         9,000     0.0%
   4->19     177,765,000     177,756,000         9,000     0.0%
   7->3          390,000         381,000         9,000     2.3%
  17->18     172,419,000     172,410,000         9,000     0.0%
  18->17      94,816,500      94,807,500         9,000     0.0%
   3->14      11,259,000      11,251,500         7,500     0.1%
   7->9       15,399,000      15,391,500         7,500     0.0%
   7->17       2,085,000       2,077,500         7,500     0.4%
   8->0      286,543,500     286,536,000         7,500     0.0%
   9->0      804,538,500     804,531,000         7,500     0.0%
  15->18      46,281,000      46,273,500         7,500     0.0%
  17->21      19,032,000      19,024,500         7,500     0.0%
  19->21       5,737,500       5,730,000         7,500     0.1%
   0->18     261,726,000     261,720,000         6,000     0.0%
   1->18      25,608,000      25,602,000         6,000     0.0%
   2->20         591,000         585,000         6,000     1.0%
   3->13          58,500          52,500         6,000    10.3%
   5->19         489,000         483,000         6,000     1.2%
   7->8          694,500         688,500         6,000     0.9%
   7->13          72,000          66,000         6,000     8.3%
   7->15       2,133,000       2,127,000         6,000     0.3%
   7->16         114,000         108,000         6,000     5.3%
   7->18      22,422,000      22,416,000         6,000     0.0%
   7->19       1,453,500       1,447,500         6,000     0.4%
   7->21      94,366,500      94,360,500         6,000     0.0%
   9->13         372,000         366,000         6,000     1.6%
  10->14       2,401,500       2,395,500         6,000     0.2%
  10->18       3,357,000       3,351,000         6,000     0.2%
  12->1        1,605,000       1,599,000         6,000     0.4%
  12->18       1,776,000       1,770,000         6,000     0.3%
  13->21       1,575,000       1,569,000         6,000     0.4%
  15->9       36,190,500      36,184,500         6,000     0.0%
  15->10         402,000         396,000         6,000     1.5%
  15->13         243,000         237,000         6,000     2.5%
  15->16         514,500         508,500         6,000     1.2%
  15->17       5,331,000       5,325,000         6,000     0.1%
  15->19       5,256,000       5,250,000         6,000     0.1%
  15->20       6,072,000       6,066,000         6,000     0.1%
  16->10          54,000          48,000         6,000    11.1%
  16->13         124,500         118,500         6,000     4.8%
  16->14      22,210,500      22,204,500         6,000     0.0%
  16->17         682,500         676,500         6,000     0.9%
  17->16          97,500          91,500         6,000     6.2%
  18->15       9,127,500       9,121,500         6,000     0.1%
  18->20       1,956,000       1,950,000         6,000     0.3%
   0->8      109,563,000     109,558,500         4,500     0.0%
   1->17         202,500         198,000         4,500     2.2%
   1->20      12,070,500      12,066,000         4,500     0.0%
   2->15       1,578,000       1,573,500         4,500     0.3%
   2->17      19,849,500      19,845,000         4,500     0.0%
   2->19       1,017,000       1,012,500         4,500     0.4%
   3->21         408,000         403,500         4,500     1.1%
   5->18       3,210,000       3,205,500         4,500     0.1%
   5->20         121,500         117,000         4,500     3.7%
   5->21      25,695,000      25,690,500         4,500     0.0%
   6->14     106,608,000     106,603,500         4,500     0.0%
   6->20       1,308,000       1,303,500         4,500     0.3%
   7->2        4,332,000       4,327,500         4,500     0.1%
   8->9       93,090,000      93,085,500         4,500     0.0%
   8->14         304,500         300,000         4,500     1.5%
   8->15          81,000          76,500         4,500     5.6%
   8->18       6,784,500       6,780,000         4,500     0.1%
   9->7          126,000         121,500         4,500     3.6%
   9->14       5,506,500       5,502,000         4,500     0.1%
   9->15       1,444,500       1,440,000         4,500     0.3%
   9->17         222,000         217,500         4,500     2.0%
   9->20       8,389,500       8,385,000         4,500     0.1%
  10->15         870,000         865,500         4,500     0.5%
  13->16          82,500          78,000         4,500     5.5%
  13->18         375,000         370,500         4,500     1.2%
  14->19         955,500         951,000         4,500     0.5%
  15->0      227,893,500     227,889,000         4,500     0.0%
  15->1       12,730,500      12,726,000         4,500     0.0%
  15->2      118,338,000     118,333,500         4,500     0.0%
  15->12          84,000          79,500         4,500     5.4%
  16->1        1,218,000       1,213,500         4,500     0.4%
  16->15         958,500         954,000         4,500     0.5%
  16->19       2,587,500       2,583,000         4,500     0.2%
  17->19         229,500         225,000         4,500     2.0%
  18->9       16,251,000      16,246,500         4,500     0.0%
  18->13      30,940,500      30,936,000         4,500     0.0%
  18->19      17,745,000      17,740,500         4,500     0.0%
  19->9       50,883,000      50,878,500         4,500     0.0%
  19->15         478,500         474,000         4,500     0.9%
  19->16         259,500         255,000         4,500     1.7%
  19->17         364,500         360,000         4,500     1.2%
  19->18      12,352,500      12,348,000         4,500     0.0%
  19->20          93,000          88,500         4,500     4.8%
  20->18         186,000         181,500         4,500     2.4%
  21->17      58,540,500      58,536,000         4,500     0.0%
   0->9      412,131,000     412,128,000         3,000     0.0%
   0->21         262,500         259,500         3,000     1.1%
   1->16       7,566,000       7,563,000         3,000     0.0%
   1->21         777,000         774,000         3,000     0.4%
   2->13          12,000           9,000         3,000    25.0%
   3->9        6,952,500       6,949,500         3,000     0.0%
   3->15         222,000         219,000         3,000     1.4%
   3->18         727,500         724,500         3,000     0.4%
   3->19       1,104,000       1,101,000         3,000     0.3%
   4->0      111,996,000     111,993,000         3,000     0.0%
   4->6       35,148,000      35,145,000         3,000     0.0%
   5->9        3,631,500       3,628,500         3,000     0.1%
   5->16         153,000         150,000         3,000     2.0%
   6->8          276,000         273,000         3,000     1.1%
   6->16       1,717,500       1,714,500         3,000     0.2%
   7->10          39,000          36,000         3,000     7.7%
   7->12       1,449,000       1,446,000         3,000     0.2%
   7->20          10,500           7,500         3,000    28.6%
   8->19       4,030,500       4,027,500         3,000     0.1%
   8->21          46,500          43,500         3,000     6.5%
   9->10          25,500          22,500         3,000    11.8%
   9->16          12,000           9,000         3,000    25.0%
   9->18      15,502,500      15,499,500         3,000     0.0%
   9->19       2,247,000       2,244,000         3,000     0.1%
   9->21         498,000         495,000         3,000     0.6%
  10->1           45,000          42,000         3,000     6.7%
  10->16       3,639,000       3,636,000         3,000     0.1%
  10->19          42,000          39,000         3,000     7.1%
  12->15       1,579,500       1,576,500         3,000     0.2%
  12->16          94,500          91,500         3,000     3.2%
  12->19         538,500         535,500         3,000     0.6%
  12->20          96,000          93,000         3,000     3.1%
  13->19          60,000          57,000         3,000     5.0%
  14->16      14,638,500      14,635,500         3,000     0.0%
  14->18      40,129,500      40,126,500         3,000     0.0%
  14->20         166,500         163,500         3,000     1.8%
  15->8        1,429,500       1,426,500         3,000     0.2%
  15->14          99,000          96,000         3,000     3.0%
  16->8        1,077,000       1,074,000         3,000     0.3%
  16->12         388,500         385,500         3,000     0.8%
  17->15         463,500         460,500         3,000     0.6%
  18->2       49,741,500      49,738,500         3,000     0.0%
  18->10       3,927,000       3,924,000         3,000     0.1%
  20->14         405,000         402,000         3,000     0.7%
  20->15         126,000         123,000         3,000     2.4%
  20->19         675,000         672,000         3,000     0.4%
  20->21         178,500         175,500         3,000     1.7%
  21->8          178,500         175,500         3,000     1.7%
  21->19         573,000         570,000         3,000     0.5%
   1->9       24,699,000      24,697,500         1,500     0.0%
   1->12         156,000         154,500         1,500     1.0%
   2->7          141,000         139,500         1,500     1.1%
   2->9       15,381,000      15,379,500         1,500     0.0%
   2->12       1,158,000       1,156,500         1,500     0.1%
   3->0       13,555,500      13,554,000         1,500     0.0%
   3->1        4,032,000       4,030,500         1,500     0.0%
   3->10           4,500           3,000         1,500    33.3%
   3->12         624,000         622,500         1,500     0.2%
   3->17          85,500          84,000         1,500     1.8%
   4->8          993,000         991,500         1,500     0.2%
   4->20       4,338,000       4,336,500         1,500     0.0%
   5->0        6,690,000       6,688,500         1,500     0.0%
   5->4       36,369,000      36,367,500         1,500     0.0%
   5->12       5,040,000       5,038,500         1,500     0.0%
   5->13          88,500          87,000         1,500     1.7%
   5->15       1,912,500       1,911,000         1,500     0.1%
   5->17         853,500         852,000         1,500     0.2%
   6->15       2,050,500       2,049,000         1,500     0.1%
   6->18      13,773,000      13,771,500         1,500     0.0%
   6->19       1,767,000       1,765,500         1,500     0.1%
   7->0       15,451,500      15,450,000         1,500     0.0%
   8->6          126,000         124,500         1,500     1.2%
   8->17           4,500           3,000         1,500    33.3%
   9->1          702,000         700,500         1,500     0.2%
   9->4      103,977,000     103,975,500         1,500     0.0%
   9->5          216,000         214,500         1,500     0.7%
   9->8       96,628,500      96,627,000         1,500     0.0%
  10->12          64,500          63,000         1,500     2.3%
  10->21         193,500         192,000         1,500     0.8%
  12->6        1,797,000       1,795,500         1,500     0.1%
  12->8        1,095,000       1,093,500         1,500     0.1%
  12->13          33,000          31,500         1,500     4.5%
  13->2          262,500         261,000         1,500     0.6%
  13->4       28,110,000      28,108,500         1,500     0.0%
  13->12          64,500          63,000         1,500     2.3%
  13->15          13,500          12,000         1,500    11.1%
  14->10          67,500          66,000         1,500     2.2%
  14->12         327,000         325,500         1,500     0.5%
  14->13         201,000         199,500         1,500     0.7%
  14->15          39,000          37,500         1,500     3.8%
  15->7          760,500         759,000         1,500     0.2%
  16->0        8,652,000       8,650,500         1,500     0.0%
  16->18       8,359,500       8,358,000         1,500     0.0%
  16->21       1,579,500       1,578,000         1,500     0.1%
  17->0          549,000         547,500         1,500     0.3%
  17->4        6,690,000       6,688,500         1,500     0.0%
  17->8          157,500         156,000         1,500     1.0%
  17->9          588,000         586,500         1,500     0.3%
  17->12       5,784,000       5,782,500         1,500     0.0%
  18->4       71,827,500      71,826,000         1,500     0.0%
  18->6       31,797,000      31,795,500         1,500     0.0%
  18->8          447,000         445,500         1,500     0.3%
  18->12         741,000         739,500         1,500     0.2%
  18->14      39,453,000      39,451,500         1,500     0.0%
  18->21      29,875,500      29,874,000         1,500     0.0%
  19->4       53,059,500      53,058,000         1,500     0.0%
  19->14       2,358,000       2,356,500         1,500     0.1%
  20->2          414,000         412,500         1,500     0.4%
  20->8            7,500           6,000         1,500    20.0%
  20->9        5,175,000       5,173,500         1,500     0.0%
  20->12         202,500         201,000         1,500     0.7%
  21->0       15,225,000      15,223,500         1,500     0.0%
  21->9        2,103,000       2,101,500         1,500     0.1%
  21->12         972,000         970,500         1,500     0.2%

  Log file:      /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7509/run_20260316_144307.txt

